timestamp,source_ip,event,severity
2026-04-26 10:01:00,192.168.1.10,Failed Login,Medium
2026-04-26 10:03:00,192.168.1.10,Failed Login,Medium
2026-04-26 10:04:00,192.168.1.10,Failed Login,High
2026-04-26 10:05:00,192.168.1.15,Successful Login,Low
2026-04-26 10:08:00,10.0.0.5,Brute Force Attempt,High
2026-04-26 10:10:00,10.0.0.5,DDoS Attempt,Critical
2026-04-26 10:12:00,172.16.0.8,Malware Alert,Critical
2026-04-26 10:14:00,172.16.0.8,Ransomware Activity,Critical
2026-04-26 10:16:00,192.168.1.50,Phishing Email Detected,High
2026-04-26 10:18:00,192.168.1.60,Unauthorized Access Attempt,High
2026-04-26 10:20:00,10.0.0.5,Failed Login,Medium
2026-04-26 10:22:00,10.0.0.9,Privilege Escalation,Critical
2026-04-26 10:25:00,192.168.1.100,Suspicious File Download,Medium
2026-04-26 10:27:00,172.16.0.12,SQL Injection Attempt,High
2026-04-26 10:30:00,192.168.1.77,VPN Login,Low
